INSERT INTO computer(cpu_id,gpu_id,dr_id1,dr_id2,ram1_id,ram2_id,m_id,kb_id,mon_id,room_id,assign_date,move_date) VALUES(5,6,1,NULL,3,3,3,2,3,7,'2024-04-04','2024-06-03'),
(5,6,1,NULL,3,3,3,2,3,7,'2024-04-04','2024-06-03'),(5,6,1,NULL,3,3,3,2,3,7,'2024-04-04','2024-06-03'),
(5,6,1,NULL,3,3,3,2,3,7,'2024-04-04','2024-06-03'),(5,6,1,NULL,3,3,3,2,3,7,'2024-04-04','2024-06-03'),
(5,6,1,NULL,3,3,3,2,3,7,'2024-04-04','2024-06-03'),(5,6,1,NULL,3,3,3,2,3,7,'2024-04-04','2024-06-03'),
(5,6,1,NULL,3,3,3,2,3,7,'2024-04-04','2024-06-03'),(5,6,1,NULL,3,3,3,2,3,7,'2024-04-04','2024-06-03'),
(5,6,1,NULL,3,3,3,2,3,7,'2024-04-04','2024-06-03'),(3,6,1,NULL,4,NULL,2,1,1,5,'2024-10-10','2024-06-03'),
(3,6,1,NULL,4,NULL,2,1,1,5,'2024-10-10','2024-06-03'),(3,6,1,NULL,4,NULL,2,1,1,5,'2024-10-10','2024-06-03'),
(3,6,1,NULL,4,NULL,2,1,1,5,'2024-10-10','2024-06-03'),(3,6,1,NULL,4,NULL,2,1,1,5,'2024-10-10','2024-06-03'),
(3,6,1,NULL,4,NULL,2,1,1,5,'2024-10-10','2024-06-03'),(3,6,1,NULL,4,NULL,2,1,1,5,'2024-10-10','2024-06-03'),
(3,6,1,NULL,4,NULL,2,1,1,5,'2024-10-10','2024-06-03'),(3,6,1,NULL,4,NULL,2,1,1,5,'2024-10-10','2024-06-03'),
(3,6,1,NULL,4,NULL,2,1,1,5,'2024-10-10','2024-06-03'),(4,3,6,NULL,1,NULL,1,3,3,1,'2024-04-04','2024-06-03'),
